No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
15,CHOCOLATES KISSES ,4,,,,,,,,,,,,4,8,5.0,PRICES,,20.0,,2022-12-01,3.0,1.0,1.0,1.0,6,1.5,6,12
16,CORTA UÑAS CORONA MEDIANA CAJA X 12,8,,2.0,,,,,,,,,,6,6,6.0,ESQUINITA,,0.0,,2024-12-01,1.0,3.0,1.0,1.0,6,1.5,6,12
17,CREMA BABY HERER 8 ONZ,1,,,,,,,,,,,,1,1,14.0,ESQUINITA,2026-04-01,1.0,,2024-01-01,,1.0,,,1,0.25,1,2
18,CREMA DIABETEX  TX 400 ML,1,,,,,,,,,,,,1,7,98.0,NOE,2025-07-01,2.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
19,CREMA GOICOCHEA ARNICA Y MANZANAILLA 400 ML,0,,,,,,,,,,,,0,2,68.0,NOE,2026-10-01,,,2025-02-01,1.0,,,,1,0.25,1,2
20,CREMA GOICOCHEA DOBLE MENTOL,0,,,,,,,,,,,,0,2,73.0,NOE,2026-07-01,0.0,,2025-02-01,,1.0,,,1,0.25,1,2
21,CREMA GOICOCHEA GINKO BILOBA 400 ML,1,,,,,,,,,,,,1,-1,68.0,NOE,2026-07-01,,,2025-02-01,,,,,0,0.0,0,0
22,CREMA GOICOCHEA SERUM PIEL DESHIDRATADA 400 ML,1,,,,,,,,,,,,1,-1,68.0,NOE,2026-08-01,,,2025-02-01,,,,,0,0.0,0,0
23,CREMA GOICOCHEA SERUM PIEL SECA 400 ML,0,,,,,,,,,,,,0,2,68.0,NOE,2026-08-01,,,2025-02-01,,,1.0,,1,0.25,1,2
24,CREMA LUBRIDERM 400 ML AZUL,1,,,,,,,,,,,,1,7,58.0,H Y D,,2.0,,2022-06-01,1.0,1.0,1.0,1.0,4,1.0,4,8
25,CREMA LUBRIDERM 400 ML DORADA,1,,,,,,,,1.0,,,,0,10,63.0,H Y D,,4.0,3.0,2025-03-01,1.0,1.0,1.0,2.0,5,1.25,5,10
26,CREMA LUBRIDERM 400 ML MORADA,1,,,,,,,,,,,,1,7,69.0,H Y D,2025-12-01,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4,1.0,4,8
27,CREMA LUBRIDERM 400 ML PIEL SENSIBLE,1,,,,,,,,,,,,1,1,58.0,NOE,2026-03-01,0.0,,2025-02-01,,,,1.0,1,0.25,1,2
28,CREMA LUBRIDERM 400 ML ROSADA,1,,,,,,,,,,,,1,7,58.0,H Y D,,0.0,,2021-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
29,CREMA LUBRIDERM 750 ML DORADA ,1,,,,,,,,,,,,1,7,121.0,NOE,2027-11-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
30,CREMA LUBRIDERM MORADA LT,1,,,,,,,,,,,,1,5,137.0,NOE,,1.0,,2024-03-01,1.0,1.0,,1.0,3,0.75,3,6
