No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
90.0,IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100 ,20.0,1.0,,,,,,,,1.0,,,18,18,20.0,,2027-04-01,3.0,,2025-04-01,9.0,6.0,2.0,1.0,18,4.5,18,36
91.0,IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,4.0,,,,,,,,,,,,4,4,61.0,,2026-05-01,0.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
92.0,IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,3.0,,,,,,,,,,,,3,9,39.6,,2027-01-01,0.0,,2025-03-01,3.0,1.0,1.0,1.0,6,1.5,6,12
93.0,IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,2.0,,,,,,,,,,,,2,10,42.0,,2027-01-01,0.0,,2025-03-01,1.0,1.0,3.0,1.0,6,1.5,6,12
94.0,JERINGA 10 ML 21 X 1 1/2 CAJA X 100,0.0,,,,,,,,,,,,0,0,1.5,,,,,,,,,,0,0.0,0,0
95.0,JERINGA 10 ML 22 X 1 1/2 CAJA X 100,47.0,,,,1.0,,4.0,,,2.0,,,40,0,1.5,,2029-06-01,0.0,,2025-01-01,5.0,5.0,5.0,5.0,20,5.0,20,40
96.0,JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,64.0,,,,,,,,,,,,64,-42,1.0,,,0.0,,2021-01-01,1.0,6.0,2.0,2.0,11,2.75,11,22
97.0,JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,21.0,,1.0,,,,,,,3.0,,,17,57,1.0,COIDE,2028-09-01,1.0,,2025-04-01,2.0,6.0,21.0,8.0,37,9.25,37,74
98.0,JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,114.0,,,,,,,,,,,,114,-96,1.0,,2029-08-01,0.0,,2024-11-01,2.0,3.0,3.0,1.0,9,2.25,9,18
99.0,JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,80.0,,,,,,,,,,,,80,-38,1.0,,2028-08-01,1.0,,2024-11-01,5.0,1.0,9.0,6.0,21,5.25,21,42
100.0,JERINGA 5 ML 22 X 1 1/2 CAJA X 100,93.0,,1.0,,1.0,5.0,3.0,,,,,,83,137,1.0,COIDE,2026-09-01,2.0,,2025-03-01,17.0,28.0,20.0,45.0,110,27.5,110,220
101.0,KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,1.0,,,,,,,,,,,,1,7,10.0,,2026-10-01,2.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
102.0,KETOROLACO 20 MG BLIST X 10 CAJA X 50,55.0,1.0,1.0,,,,,,,,,,53,79,2.0,,2025-10-01,3.0,,2024-08-01,14.0,11.0,11.0,30.0,66,16.5,66,132
103.0,KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,60.0,,,,,,,,,,,,60,16,1.4,,2026-11-01,0.0,,2024-08-01,20.0,2.0,10.0,6.0,38,9.5,38,76
104.0,KLORPROSIN KIT INY X UNIDAD,1.0,,,,,,,,,,,,1,7,25.0,,2027-07-01,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
105.0,KOLICON 15 ML ,1.0,,,,,,,,,,,,1,7,27.0,,2026-07-01,0.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
106.0,LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS ,19.0,,1.0,,,,,,,,,,18,0,9.0,,2027-06-01,3.0,,2025-03-01,1.0,6.0,1.0,1.0,9,2.25,9,18
